clients,x,p50,p95,p99,p999,max,min,avg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8.0,6422.0,1.104,1.199,1.251,1.76,3.728,0.122,1.103977,
16.0,12532.0,1.144,1.314,1.431,11.588,17.884,0.157,1.172473,
24.0,19695.0,1.115,1.32,1.506,2.408,2.603,0.137,1.132801,
32.0,25244.0,1.245,1.763,2.652,4.767,6.151,0.133,1.289528,
40.0,14461.0,12.762,1929.444,2651.046,2804.692,3032.811,0.312,224.752262,
48.0,5598.0,2071.009,4234.978,4282.297,4339.007,5058.663,0.802,1899.611364,
56.0,5142.0,2391.274,4172.637,4407.072,4523.298,4776.609,0.802,2215.918271,
64.0,3151.0,2447.613,4580.74,4691.02,4839.021,5092.41,0.78,2232.779407,
